,curve_date,curve_num,curve_name,dH,dH_std,Tm,Tm_std,fmax,fmax_std,fmin,fmin_std,s1,s1_std,s2,s2_std,rmse,celsius_min,celsius_max,data_file,blank,pass_qc,SEQID,conc_uM,Na_mM,Cuvette,dG_37,dS
23020411_5_SecondaryMeltingCurve,23020411,5,SecondaryMeltingCurve,-6.820868939519048,5.3759321693629705,69.19999980926491,83.26638250236607,1.6963760599096842,6.247376627212476,-0.09999999961342994,0.3792037720468336,-0.008621088075909777,0.014383663254544793,-0.007647427850587141,0.03747972633936756,0.004095513772285914,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/5_SecondaryMeltingCurve.csv,,False,HP017,6.0,25.0,eCuvette,-0.6415422189978058,-0.01992367151546427
23020411_2_SecondaryMeltingCurve,23020411,2,SecondaryMeltingCurve,-29.188951137384457,0.5602050633385846,39.230760571891025,0.15606636395033482,0.21482703555953375,0.005487420852199211,0.005686417224440243,0.001405186683708957,0.0003061329783209388,0.00011676941243202674,0.0012437442379380492,7.242931699306525e-05,0.0012672612991406818,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/2_SecondaryMeltingCurve.csv,,True,HP014,6.0,25.0,eCuvette,-0.20844293103366834,-0.09344029729598836
23020411_2_SecondaryCoolingCurve,23020411,2,SecondaryCoolingCurve,-8.756207896846712,1.0986755106630648,124.65370747796807,40.751428005182696,7.846821604889915,7.741758085719591,-0.052354097938138035,0.02407572061569739,6.632821139440637e-05,0.0011390762817667203,-0.07109918464343856,0.07195842478482532,0.0014345028364405664,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/2_SecondaryCoolingCurve.csv,,False,HP014,6.0,25.0,eCuvette,-1.9293789152253786,-0.022011378306049764
23020411_5_SecondaryCoolingCurve,23020411,5,SecondaryCoolingCurve,-32.456381228162265,1.4732282594172936,64.36483392093423,1.430834978166435,0.27411149484011343,0.08425110629188715,0.004153068948569316,0.000958783067248218,0.0024746090602629778,4.673242832529555e-05,0.0011974387620217186,0.0010022979754392904,0.002054327292117726,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/5_SecondaryCoolingCurve.csv,,True,HP017,6.0,25.0,eCuvette,-2.6314798424274533,-0.09616282890773759
22071204_7_CoolingCurve,22071204,7,CoolingCurve,-50.52656979988277,0.21876607590926686,68.08494460577461,0.09732419839034301,0.07607389522694183,0.0033211989273264205,0.009859751227031824,2.5488749688062542e-05,4.3487860079460816e-05,8.867866297919496e-07,-0.0001312985330432781,4.055674840785439e-05,6.924598795918474e-05,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22071204_WC2378_hairpin_1M-Na_conc_test/7_CoolingCurve.csv,,True,WC2318,2.0,1000.0,ECL micro cuvette,-4.602739690577924,-0.14806974080059598
22071204_6_CoolingCurve,22071204,6,CoolingCurve,-52.16096757224385,0.35984898194660514,68.62654638722415,0.1562867630490011,0.15655854054954849,0.012590666585205532,0.010008536211911251,8.83021857382221e-05,9.824806485814186e-05,3.010374441108166e-06,-0.00029100810181592607,0.00015374222199912162,0.0002434020375099123,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22071204_WC2378_hairpin_1M-Na_conc_test/6_CoolingCurve.csv,,True,WC2318,4.0,1000.0,ECL micro cuvette,-4.826753848279075,-0.15261716499746825
22071204_6_SecondaryCoolingCurve,22071204,6,SecondaryCoolingCurve,-51.41370938213833,0.37288429136432394,68.51581713591163,0.16867700606976016,0.1546329121260168,0.01378878492472464,0.00988125147099976,9.738748292837824e-05,0.00012555546992176758,3.3427290488113306e-06,-0.00016616814042502703,0.00016821371077182354,0.00026715161958189813,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22071204_WC2378_hairpin_1M-Na_conc_test/6_SecondaryCoolingCurve.csv,,True,WC2318,4.0,1000.0,ECL micro cuvette,-4.742485147473259,-0.1504795235681608
22071204_7_MeltingCurve,22071204,7,MeltingCurve,-47.51054262404955,0.19559382870299358,70.41688144407424,0.16492054358821853,0.05962893751751931,0.00641461090295873,0.009829134933169878,2.7726091369047106e-05,4.051858096065786e-05,9.638546895809937e-07,0.00018676487904345507,7.697809308696208e-05,7.548497790084805e-05,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22071204_WC2378_hairpin_1M-Na_conc_test/7_MeltingCurve.csv,,True,WC2318,2.0,1000.0,ECL micro cuvette,-4.6210920084564036,-0.13828615384682622
22071204_5_CoolingCurve,22071204,5,CoolingCurve,-53.346868368127055,0.3362252804044642,68.08916247822258,0.12854145636062736,0.2600304262755121,0.0194664136314799,0.009921427726838114,0.0001543315710845498,0.00022287735624049176,5.235915513104241e-06,-0.0001348336126580918,0.00023860755833258075,0.0004268343633859262,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22071204_WC2378_hairpin_1M-Na_conc_test/5_CoolingCurve.csv,,True,WC2318,8.0,1000.0,ECL micro cuvette,-4.860255330473384,-0.15633278425811276
22071204_5_SecondaryMeltingCurve,22071204,5,SecondaryMeltingCurve,-48.89534004329185,0.12286750072707026,70.61645857916236,0.0968850763849881,0.2489109483231707,0.018197631549245447,0.00829865643103446,7.657608142662462e-05,0.0003086281910005262,2.6216737262547414e-06,0.000806136052429629,0.00021875396439461722,0.00021067381942882143,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22071204_WC2378_hairpin_1M-Na_conc_test/5_SecondaryMeltingCurve.csv,,True,WC2318,8.0,1000.0,ECL micro cuvette,-4.781409390761928,-0.14223417911504088
